x,y,z
2725145.6836687694,1270753.919434318,463.0
2725146.1729963226,1270754.4253473063,463.0
2725146.7265040046,1270754.8602241315,463.0
2725147.418134495,1270754.7334488586,463.0
2725148.1153528346,1270754.6303678965,463.0
2725148.813641046,1270754.536313679,463.0
2725149.486024871,1270754.3349496368,463.0
2725150.0369413337,1270763.374597809,464.0
2725150.1584695866,1270754.1516492453,463.0
2725150.4324017107,1270750.3074345633,462.0
2725150.7758386713,1270763.2088781795,464.0
2725150.8448739443,1270753.997920932,463.0
2725150.960169751,1270750.7659210325,462.0
2725151.377852428,1270765.081053678,465.0
2725151.4908868265,1270751.2156544174,462.0
2725151.501948855,1270753.7422055546,463.0
2725151.519427697,1270763.3281503366,464.0
2725152.1094559245,1270764.650014224,465.0
2725152.1474860287,1270751.3991346573,462.0
2725152.166231158,1270753.506350934,463.0
2725152.2570041483,1270763.3571090815,464.0
2725152.7652102187,1270753.139329549,463.0
2725152.8021365884,1270751.1769450137,462.0
2725152.836774335,1270762.9035550356,464.0
2725152.8926537996,1270764.5369946347,465.0
2725153.3204707545,1270770.0211365563,466.0
2725153.3992049256,1270752.835468146,463.0
2725153.431275733,1270750.8851403734,462.0
2725153.5050313203,1270762.6593279815,464.0
2725153.7501312518,1270764.3070595548,465.0
2725153.9734463776,1270752.4264020133,463.0
2725154.048962844,1270762.13045697,464.0
2725154.086042927,1270750.651264655,462.0
2725154.238089959,1270769.6447979363,466.0
2725154.576496439,1270763.9859692398,465.0
2725154.6153645837,1270752.1417480137,463.0
2725154.725739111,1270750.3655527427,462.0
2725154.7352224137,1270761.9339753157,464.0
2725155.147425298,1270769.2310677895,466.0
2725155.2434801017,1270751.8239076221,463.0
2725155.316955479,1270761.4584875957,464.0
2725155.353527202,1270750.0552887511,462.0
2725155.3822020614,1270763.6173442157,465.0
2725155.8614570946,1270751.48607312,463.0
2725155.9902478345,1270761.1314529562,464.0
2725156.0012305835,1270749.7883280755,462.0
2725156.098506396,1270768.920779926,466.0
2725156.1941475915,1270763.2622485505,465.0
2725156.461514016,1270751.1163797122,463.0
2725156.6238774676,1270760.7186197727,464.0
2725156.6373087335,1270749.494343538,462.0
2725156.6921704058,1270775.1772736118,467.0
2725157.0083398456,1270762.9105372974,465.0
2725157.0660839444,1270768.7080068267,466.0
2725157.075555396,1270750.7699283562,463.0
2725157.2044745497,1270760.2304234828,464.0
2725157.2291223793,1270749.1212602493,462.0
2725157.2677713134,1270745.5747313602,461.0
2725157.570122938,1270774.6803228997,467.0
2725157.673999285,1270750.3979181312,463.0
2725157.8381777317,1270748.7751650503,462.0
2725157.8486895952,1270762.6370538138,465.0
2725157.8591772337,1270759.869518594,464.0
2725157.869455708,1270745.9112875871,461.0
2725158.0203753137,1270768.4124388746,466.0
2725158.3073016335,1270750.089477503,463.0
2725158.4413495716,1270759.3833397366,464.0
2725158.468041518,1270748.4712800584,462.0
2725158.529715122,1270774.3513727076,467.0
2725158.542017795,1270746.0900371766,461.0
2725158.6731541455,1270762.307876197,465.0
2725158.93382576,1270749.7664174791,463.0
2725158.997081588,1270758.8673564189,464.0
2725159.009509121,1270768.2948460698,466.0
2725159.076356276,1270748.1338909303,462.0
2725159.1237887675,1270781.1557939227,468.0
2725159.2105817157,1270746.0354403465,461.0
2725159.506540171,1270762.0619799662,465.0
2725159.5209178478,1270774.3057704135,467.0
2725159.56193747,1270749.4461762388,463.0
2725159.6461459463,1270747.7262037175,462.0
2725159.668372888,1270758.660100105,464.0
2725159.8349864585,1270745.7258776473,461.0
2725159.9644507905,1270768.0335771758,466.0
2725160.0003251247,1270780.650507793,468.0
2725160.160880746,1270749.0763377608,463.0
2725160.2304115794,1270758.1827239415,464.0
2725160.2573815384,1270747.3863389073,462.0
2725160.2971578618,1270761.660313642,465.0
2725160.416810084,1270745.3396299696,461.0
2725160.5136113735,1270774.2841460228,467.0
2725160.795680182,1270748.772424978,463.0
2725160.844081116,1270747.0039349757,462.0
2725160.8892931314,1270757.8147172194,464.0
2725160.9315665876,1270767.8103418164,466.0
2725160.959114135,1270780.304448031,468.0
2725160.9799219267,1270744.9328832359,461.0
2725161.0803468293,1270761.2546520329,465.0
2725161.422691687,1270748.4502088316,463.0
2725161.423155103,1270746.6138145619,462.0
2725161.5059118085,1270774.095851109,467.0
2725161.565989732,1270744.5554135763,461.0
2725161.5972836455,1270757.5454543163,464.0
2725161.863755834,1270767.4619789603,466.0
2725161.864794426,1270760.8405879189,465.0
2725161.9244339317,1270779.9875701675,468.0
2725161.9852655367,1270746.1992742126,462.0
2725162.0357745285,1270748.867868961,463.0
2725162.095816617,1270748.3436772483,463.0
2725162.1323006894,1270744.1462224,461.0
2725162.244059442,1270786.1953741685,469.0
2725162.246167877,1270757.15987952,464.0
2725162.4647638523,1270773.7663212032,467.0
2725162.5795352003,1270745.8283520672,462.0
2725162.6607487337,1270749.1886287706,463.0
2725162.7184581645,1270760.6071980775,465.0
2725162.7262056028,1270743.7779746747,461.0
2725162.830800264,1270767.2041505042,466.0
2725162.9355450696,1270779.8214100935,468.0
2725162.938242647,1270759.8037257362,465.0
2725162.972644915,1270757.3167636134,464.0
2725163.17733417,1270785.6638538039,469.0
2725163.1885786364,1270745.4818033176,462.0
2725163.301014476,1270743.3808459209,461.0
2725163.3345800634,1270749.383185558,463.0
2725163.4209068194,1270773.4286034931,467.0
2725163.6074739005,1270759.2297095796,465.0
2725163.6665492356,1270757.6123486776,464.0
2725163.7971676067,1270745.1362751063,462.0
2725163.8108858136,1270767.0081803538,466.0
2725163.9181871507,1270779.5260754307,468.0
2725163.9310854236,1270743.082165659,461.0
2725163.970970354,1270749.6864256756,463.0
2725164.1863355497,1270785.2933467682,469.0
2725164.3824917423,1270744.7511201347,462.0
2725164.3955360632,1270757.79423891,464.0
2725164.404912684,1270773.1878617825,467.0
2725164.4109745016,1270790.9723154213,470.0
2725164.4332074146,1270758.9321873782,465.0
2725164.572126357,1270750.044282576,463.0
2725164.587965587,1270742.843397305,461.0
2725164.7836959166,1270766.7858421898,466.0
2725164.907744147,1270779.2682793534,468.0
2725164.974813757,1270744.3767072859,462.0
2725165.115373847,1270757.9830284892,464.0
2725165.179482506,1270750.4006694115,463.0
2725165.2026446383,1270742.5151811703,461.0
2725165.219917543,1270785.1513994928,469.0
2725165.227286787,1270790.3796372917,470.0
2725165.311075312,1270758.804761763,465.0
2725165.3951972104,1270772.9654618027,467.0
2725165.577525044,1270744.0202935878,462.0
2725165.60609153,1270766.2414873468,466.0
2725165.7740654107,1270758.3303352564,464.0
2725165.830919626,1270750.6371414114,463.0
2725165.8588770307,1270742.2794260522,461.0
2725165.875906096,1270778.9336520587,468.0
2725166.0905061625,1270759.102462885,465.0
2725166.1588206748,1270789.9665734835,470.0
2725166.1990716225,1270743.6972596592,462.0
2725166.292576907,1270785.0628261913,469.0
2725166.3508449094,1270758.8203674788,464.0
2725166.3644626364,1270772.68186061,467.0
2725166.364944085,1270750.8701168336,463.0
2725166.4818761246,1270741.9642262098,461.0
2725166.534918122,1270765.9937254735,466.0
2725166.8187412885,1270743.3701480352,462.0
2725166.835437902,1270751.3724257788,463.0
2725166.853627298,1270778.6901504928,468.0
2725166.9304699674,1270759.246521188,465.0
2725167.0538092046,1270759.0184157514,464.0
2725167.112075191,1270741.665763337,461.0
2725167.1213716855,1270789.6630145253,470.0
2725167.1801190176,1270795.7726292098,471.0
2725167.355808203,1270784.905618855,469.0
2725167.36985603,1270772.5489622299,467.0
2725167.453056596,1270743.0736446383,462.0
2725167.453947466,1270765.8115310716,466.0
2725167.531936184,1270751.445286985,463.0
2725167.6566922246,1270741.2444087255,461.0
2725167.728683274,1270764.8508120063,466.0
2725167.805590513,1270759.3360507807,465.0
2725167.810649269,1270759.0609581827,464.0
2725167.8107943223,1270778.368767293,468.0
2725168.0223217,1270795.301830783,471.0
2725168.0340478094,1270742.6870258432,462.0
2725168.1398315947,1270789.6543328855,470.0
2725168.195558443,1270784.2608322024,469.0
2725168.2133293655,1270751.2869667474,463.0
2725168.275728435,1270740.9281951492,461.0
2725168.361028073,1270772.3768629362,467.0
2725168.5452887253,1270758.990763636,464.0
2725168.5531577687,1270742.2181372922,462.0
2725168.562232429,1270764.318262384,466.0
2725168.584214855,1270759.2331546918,465.0
2725168.726816695,1270740.3946195254,461.0
2725168.8009863338,1270778.2049059595,468.0
2725168.897191955,1270741.641529488,462.0
2725168.9011312556,1270751.1654138812,463.0
2725168.9184343023,1270794.951591819,471.0
2725169.0813854327,1270783.665207919,469.0
2725169.1541113677,1270789.6347575628,470.0
2725169.1553917336,1270758.5551076178,464.0
2725169.170818826,1270755.163455767,464.0
2725169.177418682,1270737.5075484822,460.0
2725169.260186002,1270758.6637946288,465.0
2725169.2637072327,1270741.1144042974,462.0
2725169.2639092524,1270771.915097158,467.0
2725169.336634757,1270755.834038138,464.0
2725169.3539956706,1270740.155071044,461.0
2725169.364686112,1270763.7416356648,466.0
2725169.4693942424,1270754.484403938,464.0
2725169.50788565,1270756.5646879212,464.0
2725169.5709295813,1270751.0346308495,463.0
2725169.5828270493,1270757.958452366,464.0
2725169.607260541,1270762.812343904,466.0
2725169.6913388083,1270739.5739720317,461.0
2725169.7300556046,1270756.4990100993,465.0
2725169.771991397,1270755.6723620682,465.0
2725169.7742610876,1270737.602396355,460.0
2725169.7859315593,1270794.5377101,471.0
2725169.7986655254,1270753.833131249,464.0
2725169.809320732,1270757.2591411602,464.0
2725169.816660643,1270778.0756220638,468.0
2725169.8844602536,1270740.7928381297,462.0
2725169.8902842915,1270758.057026771,465.0
2725169.9676932106,1270761.8808138014,466.0
2725169.9787396085,1270800.9076524486,472.0
2725170.0793896364,1270783.310918954,469.0
2725170.106491678,1270789.3714780398,470.0
2725170.128925158,1270771.384059787,467.0
2725170.1554546384,1270757.2425527866,465.0
2725170.211469263,1270739.3238453295,461.0
2725170.2576044,1270750.9205096192,463.0
2725170.337361217,1270737.3589095562,460.0
2725170.4985312466,1270740.4669648837,462.0
2725170.5389122805,1270753.6656853089,464.0
2725170.6456157947,1270755.513320295,465.0
2725170.7416222766,1270794.4471366182,471.0
2725170.7604759224,1270800.3842765475,472.0
2725170.7709615207,1270777.6974402699,468.0
2725170.7717678435,1270738.9127823082,461.0
2725170.8438674826,1270761.7279017179,466.0
2725170.897656943,1270750.7264346727,463.0
2725170.9187013754,1270737.1723925795,460.0
2725170.9706459683,1270788.8312008576,470.0
2725171.0527061163,1270770.9742154705,467.0
2725171.094230968,1270740.1003701205,462.0
2725171.115537968,1270762.8256883353,466.0
2725171.147300807,1270783.1676449738,469.0
2725171.20753913,1270752.0463599213,464.0
2725171.260200032,1270753.4358483134,464.0
2725171.347091876,1270754.991693263,465.0
2725171.3856664826,1270738.5858913786,461.0
2725171.4173679836,1270750.2520062856,463.0
2725171.4483692124,1270751.4925472487,464.0
2725171.4518686705,1270752.757094806,464.0
2725171.452596443,1270799.7604589139,472.0
2725171.478802809,1270736.9226016595,460.0
2725171.4837544374,1270735.605055416,459.0
2725171.612325631,1270762.0772861233,466.0
2725171.6239562538,1270777.1308654968,468.0
2725171.6933719344,1270794.2874242612,471.0
2725171.706785097,1270739.7602161483,462.0
2725171.7968113218,1270762.4078812457,466.0
2725171.796834268,1270788.243677728,470.0
2725171.816406167,1270754.2682786149,465.0
2725171.9530617665,1270735.3836230303,459.0
2725171.957365468,1270770.5545043515,467.0
2725171.9615976196,1270749.8055319756,463.0
2725172.021580057,1270751.002221435,464.0
2725172.036402948,1270738.3340341696,461.0
2725172.0581866163,1270736.720582123,460.0
2725172.0673096757,1270734.9157293586,459.0
2725172.2076013954,1270782.9726268465,469.0
2725172.340954489,1270739.464295623,462.0
2725172.346344951,1270799.462994341,472.0
2725172.375736127,1270805.8658976068,473.0
2725172.449956489,1270776.5265419004,468.0
